,BUILDING_BP1 길이옵셋,BUILDING_BP1 오픈/오버랩량 조정,BUILDING_Belt #1 - 길이,BUILDING_Belt #1 - 폭 ,BUILDING_Belt #2 - 길이,BUILDING_Belt #2 - 폭 ,BUILDING_Belt Offset,BUILDING_Belt 각도,BUILDING_Carcass #1 - 폭 ,BUILDING_Carcass #2 - 폭 ,BUILDING_Inner - 폭 ,BUILDING_PA - 길이,BUILDING_PA - 폭 ,BUILDING_Splice Lap-BP1-우,BUILDING_Splice Lap-BP1-좌,BUILDING_Splice Lap-BP1-중,BUILDING_Splice Lap-PA-우,BUILDING_Splice Lap-PA-좌,BUILDING_Splice Lap-PA-중,BUILDING_Splice Lap-벨트1-우,BUILDING_Splice Lap-벨트1-좌,BUILDING_Splice Lap-벨트1-중,BUILDING_Splice Lap-벨트2-우,BUILDING_Splice Lap-벨트2-좌,BUILDING_Splice Lap-벨트2-중,BUILDING_Splice Lap-트래드-우,BUILDING_Splice Lap-트래드-좌,BUILDING_Splice Lap-트래드-중,BUILDING_T/D 스티칭 압력 - Setting - 폭,BUILDING_Tread 길이 - 세팅,BUILDING_Tread 길이 - 실측,BUILDING_Tread 폭 - 세팅,BUILDING_Tread 폭 - 실측,BUILDING_WRK_DATE,BUILDING_멀티롤압력센-BP1-Ch1,BUILDING_멀티롤압력센-BP1-Ch2-우,BUILDING_멀티롤압력센-BP1-Ch2-좌,BUILDING_멀티롤압력센-BP1-Ch3-우,BUILDING_멀티롤압력센-BP1-Ch3-좌,BUILDING_멀티롤압력센-BP1-Ch4-우,BUILDING_멀티롤압력센-BP1-Ch4-좌,BUILDING_멀티롤압력센-BP1-Ch5-우,BUILDING_멀티롤압력센-BP1-Ch5-좌,BUILDING_멀티롤압력센-BP1-Ch6-우,BUILDING_멀티롤압력센-BP1-Ch6-좌,BUILDING_멀티롤압력센-BP1-Ch7-우,BUILDING_멀티롤압력센-BP1-Ch7-좌,BUILDING_재료길이-BP1 App CV,BUILDING_재료길이-BP1 FrontCV,BUILDING_재료길이-BP1 Mid CV,BUILDING_재료길이-BP1 Mid_우 CV,BUILDING_재료길이-BP1 컷팅 CV,BUILDING_재료길이-PA App CV,BUILDING_재료길이-PA 컷팅 CV,BUILDING_재료옵셋-BP1,BUILDING_재료옵셋-PA,gt_LWM_STD_WGT,gt_MRM_WGT,gt_STD_WGT,gt_UPM_STD_WGT
45871,40.0,86.0,1963.07,221.72,1969.77,208.13,6.2,27.0,621.14,441.66,422.19,1404.5,600.48,7.5,4.6,5.6,9.2,9.3,9.1,3.1,2.8,2.3,1.2,2.2,2.0,2.2,5.0,1.1,240.0,2005.0,2003.87,260.0,262.05,20230225,3.0,2.3,3.0,2.4,3.0,2.3,3.0,2.3,3.0,0.0,0.0,0.0,0.0,1404.3,1936.7,1405.4,1405.7,1405.7,624.5,1472.9,1415.0,1404.5,10.469,10.79,10.737,11.005
45872,100.0,86.0,1952.35,211.04,1957.88,200.18,5.0,27.0,621.14,441.6,403.9,1404.5,593.3,6.8,5.5,5.7,7.6,8.2,7.9,6.0,4.1,99.9,0.0,0.9,1.3,0.4,1.3,0.7,220.0,1983.0,1984.01,252.0,251.25,20230225,3.0,2.3,0.3,2.4,0.5,2.3,0.5,2.3,0.5,0.0,0.5,0.0,0.0,1404.7,1934.9,1405.4,1405.7,1405.4,569.7,1463.9,1415.0,1404.5,10.469,10.7,10.737,11.005
45873,100.0,86.0,1951.67,211.04,1957.88,198.94,5.0,27.0,621.11,441.6,402.88,1404.5,593.4,6.8,5.5,5.7,8.1,8.8,8.6,6.0,4.1,99.9,0.0,0.0,1.7,0.9,3.7,1.1,220.0,1983.0,1982.58,252.0,250.98,20230225,3.0,2.3,0.3,2.4,0.5,2.3,0.5,2.3,0.5,0.0,0.5,0.0,0.0,1989.6,1936.7,1404.9,1404.2,1405.4,1397.0,1464.5,1415.0,1404.5,10.469,10.66,10.737,11.005
45874,100.0,86.0,1953.92,210.9,1956.75,198.94,4.7,27.0,621.1,441.6,401.86,1404.5,593.54,6.8,5.7,5.3,9.0,8.8,9.9,5.0,4.7,2.9,0.6,0.0,1.7,2.8,3.7,1.1,220.0,1983.0,1982.58,252.0,251.2,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1989.6,1936.7,1403.9,1404.2,1405.1,624.5,1464.5,1415.0,1404.5,10.469,10.7,10.737,11.005
45875,100.0,86.0,1956.38,211.8,1959.66,199.23,4.7,27.0,621.1,441.6,402.88,1404.5,593.54,7.1,6.0,6.0,9.0,8.6,9.9,5.0,4.7,2.9,1.5,0.0,2.0,6.0,4.1,6.0,220.0,1983.0,1983.29,252.0,251.23,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1967.3,1936.7,1405.7,1404.8,1405.6,624.5,1464.9,1415.0,1404.5,10.469,10.74,10.737,11.005
45876,100.0,86.0,1956.38,211.8,1959.66,199.23,4.7,27.0,621.04,441.6,403.9,1404.5,593.55,7.1,6.0,6.0,8.7,9.0,8.8,3.4,4.7,99.9,0.0,0.0,1.0,6.0,4.1,6.0,220.0,1983.0,1984.72,252.0,251.23,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1967.1,1936.7,1405.7,1404.8,1405.6,1395.8,1465.5,1415.0,1404.5,10.469,10.7,10.737,11.005
45877,100.0,86.0,1954.46,211.4,1958.29,200.43,4.7,27.0,621.04,441.6,402.88,1404.5,593.55,5.9,5.9,5.9,8.3,9.0,8.8,3.4,0.0,99.9,0.0,0.0,1.0,0.4,3.7,1.3,220.0,1983.0,1984.72,252.0,250.85,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1966.2,1934.9,1404.3,1404.3,1405.3,695.1,1465.5,1415.0,1404.5,10.469,10.7,10.737,11.005
45878,100.0,86.0,1954.84,211.39,1958.29,200.43,4.7,27.0,621.04,441.6,402.88,1404.5,593.28,6.4,5.0,4.6,9.4,9.7,9.1,3.4,3.1,1.7,0.0,0.0,0.0,1.3,2.2,2.8,220.0,1983.0,1984.72,252.0,250.87,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1968.0,1934.9,1404.2,1404.3,1405.4,750.5,1467.0,1415.0,1404.5,10.469,10.71,10.737,11.005
45879,100.0,86.0,1954.84,211.39,1959.21,199.48,4.7,27.0,621.05,441.6,403.9,1404.5,593.28,6.4,5.0,4.6,9.4,9.7,9.1,2.5,3.1,1.7,0.0,0.0,0.7,4.1,5.0,3.7,220.0,1983.0,1982.58,252.0,251.24,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1970.9,1934.9,1404.9,1404.2,1405.4,822.2,1467.0,1415.0,1404.5,10.469,10.75,10.737,11.005
45880,100.0,86.0,1954.04,211.91,1959.21,199.48,4.7,27.0,621.05,441.6,402.37,1404.5,593.35,5.5,5.0,4.2,7.8,8.8,8.4,2.8,2.5,2.0,2.2,0.0,1.7,4.1,5.0,3.7,220.0,1983.0,1982.58,252.0,251.24,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1990.0,1934.9,1405.4,1404.9,1405.2,822.2,1476.8,1415.0,1404.5,10.469,10.69,10.737,11.005
