,BUILDING_BP 트래인스킬 사용여부(0/1),BUILDING_BP1 길이옵셋,BUILDING_BP1 오픈/오버랩량 조정,BUILDING_BP2 길이옵셋,BUILDING_BP2 오픈/오버랩량 조정,BUILDING_Belt #1 - 길이,BUILDING_Belt #1 - 폭 ,BUILDING_Belt #2 - 길이,BUILDING_Belt #2 - 폭 ,BUILDING_Belt Offset,BUILDING_Belt 각도,BUILDING_Carcass #1 - 폭 ,BUILDING_Carcass #2 - 폭 ,BUILDING_Inner - 폭 ,BUILDING_PA - 길이,BUILDING_PA - 폭 ,BUILDING_Splice Lap-BP1-우,BUILDING_Splice Lap-BP1-좌,BUILDING_Splice Lap-BP1-중,BUILDING_Splice Lap-BP2-우,BUILDING_Splice Lap-BP2-좌,BUILDING_Splice Lap-BP2-중,BUILDING_Splice Lap-PA-우,BUILDING_Splice Lap-PA-좌,BUILDING_Splice Lap-PA-중,BUILDING_Splice Lap-벨트1-우,BUILDING_Splice Lap-벨트1-좌,BUILDING_Splice Lap-벨트1-중,BUILDING_Splice Lap-벨트2-우,BUILDING_Splice Lap-벨트2-좌,BUILDING_Splice Lap-벨트2-중,BUILDING_Splice Lap-트래드-우,BUILDING_Splice Lap-트래드-좌,BUILDING_Splice Lap-트래드-중,BUILDING_T/D 스티칭 압력 - Setting - 폭,BUILDING_Tread 길이 - 세팅,BUILDING_Tread 길이 - 실측,BUILDING_Tread 폭 - 세팅,BUILDING_Tread 폭 - 실측,BUILDING_멀티롤압력센-BP1-Ch1,BUILDING_멀티롤압력센-BP1-Ch2-우,BUILDING_멀티롤압력센-BP1-Ch2-좌,BUILDING_멀티롤압력센-BP1-Ch3-우,BUILDING_멀티롤압력센-BP1-Ch3-좌,BUILDING_멀티롤압력센-BP1-Ch4-우,BUILDING_멀티롤압력센-BP1-Ch4-좌,BUILDING_멀티롤압력센-BP1-Ch5-우,BUILDING_멀티롤압력센-BP1-Ch5-좌,BUILDING_멀티롤압력센-BP1-Ch6-우,BUILDING_멀티롤압력센-BP1-Ch6-좌,BUILDING_멀티롤압력센-BP1-Ch7-우,BUILDING_멀티롤압력센-BP1-Ch7-좌,BUILDING_멀티롤압력센-BP2-Ch1,BUILDING_멀티롤압력센-BP2-Ch2-우,BUILDING_멀티롤압력센-BP2-Ch2-좌,BUILDING_멀티롤압력센-BP2-Ch3-우,BUILDING_멀티롤압력센-BP2-Ch3-좌,BUILDING_멀티롤압력센-BP2-Ch4-우,BUILDING_멀티롤압력센-BP2-Ch4-좌,BUILDING_멀티롤압력센-BP2-Ch5-우,BUILDING_멀티롤압력센-BP2-Ch5-좌,BUILDING_벨트1 후단팁 위치,BUILDING_벨트2 후단팁 위치,BUILDING_재료길이-BP1 App CV,BUILDING_재료길이-BP1 FrontCV,BUILDING_재료길이-BP1 Mid CV,BUILDING_재료길이-BP1 Mid_사행-선단,BUILDING_재료길이-BP1 Mid_사행-후단,BUILDING_재료길이-BP1 Mid_우 CV,BUILDING_재료길이-BP1 컷팅 CV,BUILDING_재료길이-BP2 App CV,BUILDING_재료길이-BP2 FrontCV,BUILDING_재료길이-BP2 Mid CV,BUILDING_재료길이-BP2 Mid_사행-선단,BUILDING_재료길이-BP2 Mid_사행-후단,BUILDING_재료길이-BP2 Mid_사행파람,BUILDING_재료길이-BP2 Mid_우 CV,BUILDING_재료길이-BP2 컷팅 CV,BUILDING_재료길이-PA App CV,BUILDING_재료길이-PA 컷팅 CV,BUILDING_재료옵셋-BP1,BUILDING_재료옵셋-BP2,BUILDING_재료옵셋-PA,BUILDING_측정번호-BP1,BUILDING_측정번호-BP2,BUILDING_측정번호-PA,BUILDING_트래드 후단팁 위치,Weight_LWM_STD_WGT,Weight_MRM_WGT,Weight_STD_WGT,Weight_UPM_STD_WGT
46019,0.0,100.0,86.0,0.0,0.0,1952.38,212.42,1960.04,199.0,4.7,27.0,621.12,441.6,403.9,1404.5,592.57,4.2,4.2,8.1,0.0,0.0,0.0,8.3,8.1,8.2,3.8,2.8,2.0,0.0,0.0,0.0,3.7,2.2,2.2,220.0,1983.0,1984.36,252.0,250.26,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.06,-5.35,1990.3,1934.9,1404.9,0.9,1.5,1404.6,1404.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,836.7,1465.5,1415.0,0.0,1404.5,444.0,0.0,465.0,0.01,10.469,10.69,10.737,11.005
46027,0.0,100.0,86.0,0.0,0.0,1953.64,211.73,1959.24,198.58,4.7,27.0,621.16,441.6,401.86,1404.5,592.93,6.4,4.2,4.6,0.0,0.0,0.0,7.9,8.4,8.1,2.8,3.1,1.3,1.5,0.0,2.0,3.7,4.1,5.6,220.0,1983.0,1987.92,252.0,251.39,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.12,-5.33,1990.2,1934.9,1404.9,1.2,1.8,1404.3,1405.1,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,1396.4,1463.3,1415.0,0.0,1404.5,452.0,0.0,473.0,-5.88,10.469,10.82,10.737,11.005
46050,0.0,100.0,86.0,0.0,0.0,1954.08,212.92,1957.55,199.34,4.7,27.0,621.21,441.6,401.86,1404.5,593.03,7.3,5.9,5.8,0.0,0.0,0.0,7.4,9.0,9.9,3.8,3.4,1.3,0.0,0.0,0.0,2.2,1.8,2.2,220.0,1983.0,1987.57,252.0,251.0,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.12,-5.39,1991.8,1934.9,1405.5,1.2,1.2,1406.0,1406.1,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,616.2,1478.3,1415.0,0.0,1404.5,475.0,0.0,497.0,-4.84,10.469,10.9,10.737,11.005
46051,0.0,100.0,86.0,0.0,0.0,1953.57,212.18,1956.96,198.73,4.7,27.0,621.21,441.6,403.9,1404.5,593.08,6.2,5.9,5.8,0.0,0.0,0.0,8.3,9.3,9.0,4.7,3.8,3.2,0.0,0.0,0.7,0.4,0.1,1.3,220.0,1983.0,1987.57,252.0,250.76,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.16,-5.39,1990.8,1934.9,1406.0,1.7,1.2,1406.9,1406.7,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,677.3,1469.8,1415.0,0.0,1404.5,476.0,0.0,498.0,-4.9,10.469,10.9,10.737,11.005
46057,0.0,100.0,86.0,0.0,0.0,1954.37,212.37,1957.7,198.95,4.7,27.0,621.11,441.6,403.9,1404.5,592.97,5.5,6.4,5.0,0.0,0.0,0.0,9.0,9.5,10.9,1.9,0.0,0.0,0.0,0.0,1.3,1.3,1.8,1.8,220.0,1983.0,1986.14,252.0,250.47,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.19,-5.44,1991.7,1936.7,1405.2,1.2,2.0,1404.8,1405.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,712.8,1477.5,1415.0,0.0,1404.5,482.0,0.0,505.0,-5.4,10.469,10.91,10.737,11.005
46058,0.0,100.0,86.0,0.0,0.0,1953.9,212.38,1956.63,198.33,4.7,27.0,621.14,441.6,403.9,1404.5,592.63,6.8,6.4,5.0,0.0,0.0,0.0,8.8,9.5,9.5,4.7,5.3,2.9,1.5,0.0,1.3,2.2,1.8,2.8,220.0,1983.0,1984.36,252.0,250.62,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.19,-5.44,1991.7,1936.7,1405.2,1.2,2.0,1405.8,1405.9,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,618.9,1476.2,1415.0,0.0,1404.5,483.0,0.0,506.0,-6.72,10.469,10.92,10.737,11.005
46059,0.0,100.0,86.0,0.0,0.0,1953.51,212.38,1958.98,198.93,4.7,27.0,621.23,441.6,402.88,1404.5,592.67,6.8,3.9,4.6,0.0,0.0,0.0,8.5,9.0,9.5,4.7,5.3,2.9,1.5,0.0,1.0,2.2,2.2,2.8,220.0,1983.0,1984.72,252.0,250.62,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.13,-5.33,1989.5,1936.7,1405.4,1.1,2.0,1405.8,1405.9,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,730.6,1466.4,1415.0,0.0,1404.5,484.0,0.0,507.0,-6.72,10.469,10.9,10.737,11.005
46061,0.0,100.0,86.0,0.0,0.0,1952.95,213.25,1958.53,198.9,4.7,27.0,621.06,441.6,403.9,1404.5,592.8,6.2,5.3,5.7,0.0,0.0,0.0,8.5,9.0,9.9,3.4,3.8,2.6,0.0,0.0,0.0,2.2,1.3,2.2,220.0,1983.0,1985.43,252.0,250.96,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.14,-5.29,1990.3,1936.7,1405.2,1.2,1.8,1405.2,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,1396.4,1476.6,1415.0,0.0,1404.5,486.0,0.0,509.0,-5.94,10.469,11.02,10.737,11.005
46063,0.0,100.0,86.0,0.0,0.0,1953.26,212.38,1960.01,199.12,4.7,27.0,621.16,441.6,403.9,1404.5,592.97,7.8,5.1,5.8,0.0,0.0,0.0,8.5,8.2,9.1,3.8,2.8,17.8,0.0,0.0,1.3,5.0,6.0,7.4,220.0,1983.0,1986.5,252.0,250.67,2.5,1.5,0.3,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.21,-5.37,1990.0,1936.7,1405.2,1.9,2.4,1405.8,1405.5,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,864.5,1477.1,1415.0,0.0,1404.5,488.0,0.0,511.0,0.01,10.469,10.97,10.737,11.005
46066,0.0,100.0,86.0,0.0,0.0,1953.58,212.13,1957.79,198.72,4.7,27.0,621.15,441.6,403.9,1404.5,593.14,6.0,5.5,5.0,0.0,0.0,0.0,7.9,9.3,9.7,4.1,3.1,2.0,0.0,0.0,1.7,1.8,3.2,5.0,220.0,1983.0,1987.57,252.0,251.32,2.5,1.0,0.3,1.0,0.5,1.0,0.5,1.5,0.5,1.5,0.5,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.21,-5.37,1971.0,1934.9,1405.1,1.5,1.5,1405.2,1406.2,0.0,0.0,1411.7,1.1,2.0,0.7,1404.6,1410.3,637.6,1477.7,1415.0,0.0,1404.5,491.0,0.0,514.0,0.01,10.469,10.94,10.737,11.005
